Year,AR,AI,AG,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VS,VD,ZG,ZH
2006,22.98,10.76,2'969.56,3'144.78,303,274.21,615.3,621.66,885.57,7'866.31,32.8,48.21,139.23,151.07,298.93,595.33,254.66,476.16,538.46,3'503.89,50.17,1'522.92,9'548.57,806.11,67.57,544.81
2007,22.98,10.76,2'990.66,3'147.02,303,265.41,615.22,621.66,886.89,7'864.92,32.8,48.21,133.07,151.65,298.93,592.69,254.66,476.16,538.46,3'503.89,49.97,1'522.92,9'565.90,810.17,67.57,544.61
2008,22.98,10.76,2'991.31,3'253.82,303,265.41,615.22,621.66,893.59,7'869.90,32.8,48.21,133.07,151.65,298.93,598.19,254.66,476.16,538.46,3'537.89,49.97,1'523.91,9'565.90,810.17,67.57,544.77
2009,22.98,10.76,2'991.31,3'253.82,303,265.41,615.22,634.58,893.59,7'869.90,32.8,48.21,133.07,151.65,298.93,599.49,254.66,476.16,538.46,3'537.89,51.57,1'523.91,9'568.99,821.28,67.57,545.27
2010,22.98,10.76,3'029.76,3'273.45,303,265.41,615.22,634.58,907.99,7'855.93,32.8,48.21,133.07,151.65,298.93,600.49,254.66,476.16,543.62,3'537.89,51.57,1'526.07,9'593.38,821.28,67.57,545.27
2011,22.98,10.76,3'217.11,3'292.85,303,261.61,615.22,634.58,914.91,7'868.33,32.8,48.21,133.07,151.65,298.93,606.59,254.66,476.16,543.62,3'537.89,51.87,1'527.57,9'593.81,821.28,68.78,545.3
2012,22.98,10.76,3'224.11,3'315.85,303,261.61,615.22,634.58,920.51,7'802.96,32.8,52.71,133.07,151.65,298.93,606.99,254.66,476.16,543.62,3'537.89,58.97,1'527.57,9'595.51,821.28,68.78,545.3
2013,22.98,10.76,3'170.01,3'308.62,303,261.61,615.22,634.58,932.54,7'822.81,32.8,52.71,133.07,151.97,310.13,606.99,279.55,476.16,543.62,3'542.59,58.97,1'528.77,9'589.11,821.28,68.78,592.26
2014,22.98,10.76,3'174.91,3'321.98,303,261.61,618.72,646.08,932.54,7'784.01,36.6,52.71,133.07,158.97,310.13,608.24,279.55,476.16,543.62,3'542.59,58.97,1'528.77,9'618.14,827.42,68.78,592.26
2015,22.98,10.76,3'240.81,3'325.18,303,261.61,608.43,646.08,935.74,7'816.58,36.6,52.71,134.72,158.97,310.13,612.84,279.55,476.16,543.62,3'542.59,60.37,1'528.77,9'646.76,814.02,68.78,592.86
2016,22.98,10.76,3'240.81,3'346.15,303,261.61,608.43,647.63,933.54,7'889.38,38.13,52.71,134.72,158.97,311.49,616.64,279.55,477.06,545.22,3'547.39,60.37,1'528.77,9'679.27,814.02,70.58,595.41
2017,23.44,10.84,3'242.63,3'310.60,303,269.61,608.43,647.63,950.04,7'928.75,36.35,52.71,136.32,155.3,292.66,618.54,279.55,482.06,545.22,3'547.09,69.27,1'542.77,9'702.75,843.02,70.58,594.81
