Year,Beznau 1,Beznau 2,Gosgen,Leibstadt,Muhleberg
1990,2540.0,2617.0,7080.0,7572.0,2489.0
1991,2474.0,2601.0,7096.0,7060.0,2423.0
1992,2456.0,2354.0,7352.0,7538.0,2421.0
1993,2145.0,2617.0,7349.0,7338.0,2580.0
1994,2668.0,3052.0,7614.0,6996.0,2654.0
1995,2823.0,2553.0,7765.0,7677.0,2668.0
1996,2728.0,2747.0,7872.0,7713.0,2659.0
1997,2688.0,3083.0,7850.0,7789.0,2561.0
1998,3157.0,2711.0,7783.0,8047.0,2670.0
1999,2810.0,2210.0,7468.0,8323.0,2712.0
2000,2503.0,3048.0,7744.0,8825.0,2829.0
2001,3062.0,2559.0,7804.0,9090.0,2778.0
2002,2884.0,3001.0,7795.0,9173.0,2839.0
2003,3038.0,2912.0,7924.0,9309.0,2748.0
2004,2775.0,3091.0,7954.0,8692.0,2920.0
2005,3069.0,2796.0,7530.0,5768.0,2857.0
2006,2920.0,3058.0,8032.0,9367.0,2867.0
2007,3045.0,2894.0,8087.0,9437.0,2881.0
2008,2918.0,3052.0,7898.0,9308.0,2956.0
2009,3025.0,2742.0,8013.0,9385.0,2954.0
2010,2634.0,2832.0,7979.0,8784.0,2976.0
2011,3022.0,2715.0,7859.0,9482.0,2482.0
2012,2683.0,2770.0,8015.0,7884.0,2993.0
2013,3012.0,2846.0,6382.0,9691.0,2940.0
2014,2884.0,3029.0,7972.0,9458.0,3027.0
