Power plant,Year,Production utilisee (%)
Beznau 1,1990,83.3
Beznau 1,1991,81.2
Beznau 1,1992,80.3
Beznau 1,1993,70.3
Beznau 1,1994,87.5
Beznau 1,1995,92.6
Beznau 1,1996,88.3
Beznau 1,1997,84.5
Beznau 1,1998,99.3
Beznau 1,1999,88.4
Beznau 1,2000,78.5
Beznau 1,2001,96.1
Beznau 1,2002,90.7
Beznau 1,2003,95.6
Beznau 1,2004,87.2
Beznau 1,2005,96.6
Beznau 1,2006,91.9
Beznau 1,2007,95.8
Beznau 1,2008,91.7
Beznau 1,2009,95.3
Beznau 1,2010,83.1
Beznau 1,2011,95.2
Beznau 1,2012,84.4
Beznau 1,2013,95.0
Beznau 1,2014,90.8
Beznau 2,1990,85.5
Beznau 2,1991,84.9
Beznau 2,1992,76.6
Beznau 2,1993,85.5
Beznau 2,1994,99.6
Beznau 2,1995,83.3
Beznau 2,1996,88.9
Beznau 2,1997,98.7
Beznau 2,1998,86.7
Beznau 2,1999,70.7
Beznau 2,2000,95.1
Beznau 2,2001,79.8
Beznau 2,2002,93.9
Beznau 2,2003,91.1
Beznau 2,2004,96.5
Beznau 2,2005,87.5
Beznau 2,2006,95.7
Beznau 2,2007,90.5
Beznau 2,2008,95.2
Beznau 2,2009,85.8
Beznau 2,2010,88.6
Beznau 2,2011,84.9
Beznau 2,2012,86.5
Beznau 2,2013,89.1
Beznau 2,2014,94.8
Gosgen,1990,86.7
Gosgen,1991,86.9
Gosgen,1992,89.8
Gosgen,1993,90.0
Gosgen,1994,93.2
Gosgen,1995,92.5
Gosgen,1996,93.0
Gosgen,1997,93.0
Gosgen,1998,92.3
Gosgen,1999,88.6
Gosgen,2000,91.7
Gosgen,2001,92.4
Gosgen,2002,92.5
Gosgen,2003,94.0
Gosgen,2004,94.1
Gosgen,2005,89.3
Gosgen,2006,95.4
Gosgen,2007,96.1
Gosgen,2008,93.5
Gosgen,2009,95.1
Gosgen,2010,93.1
Gosgen,2011,91.7
Gosgen,2012,93.4
Gosgen,2013,74.5
Gosgen,2014,91.9
Leibstadt,1990,87.3
Leibstadt,1991,81.4
Leibstadt,1992,86.7
Leibstadt,1993,84.6
Leibstadt,1994,80.7
Leibstadt,1995,85.1
Leibstadt,1996,85.2
Leibstadt,1997,86.3
Leibstadt,1998,85.1
Leibstadt,1999,88.0
Leibstadt,2000,87.7
Leibstadt,2001,90.4
Leibstadt,2002,90.9
Leibstadt,2003,91.2
Leibstadt,2004,84.9
Leibstadt,2005,56.5
Leibstadt,2006,91.8
Leibstadt,2007,92.5
Leibstadt,2008,91.0
Leibstadt,2009,92.0
Leibstadt,2010,86.1
Leibstadt,2011,91.0
Leibstadt,2012,75.4
Leibstadt,2013,90.7
Leibstadt,2014,88.5
Muhleberg,1990,88.8
Muhleberg,1991,86.4
Muhleberg,1992,86.1
Muhleberg,1993,87.9
Muhleberg,1994,85.3
Muhleberg,1995,85.8
Muhleberg,1996,85.3
Muhleberg,1997,82.4
Muhleberg,1998,85.9
Muhleberg,1999,87.2
Muhleberg,2000,90.7
Muhleberg,2001,89.1
Muhleberg,2002,91.3
Muhleberg,2003,88.4
Muhleberg,2004,93.6
Muhleberg,2005,91.9
Muhleberg,2006,92.2
Muhleberg,2007,92.6
Muhleberg,2008,94.8
Muhleberg,2009,90.4
Muhleberg,2010,91.1
Muhleberg,2011,76.0
Muhleberg,2012,91.3
Muhleberg,2013,90.0
Muhleberg,2014,92.6
